id,name,venue_type,abbreviation,publisher,total_publications,faculty_publications,created_at,updated_at
115,Int. J. Comput. Intell. Syst.,journal,,,1,1,2026-01-31 22:35:56.987618,2026-01-31 22:35:56.992189
123,"26th IEEE International Conference on High Performance Computing,
Data, and Analytics, HiPC 2019, Hyderabad, India, December 17-20,
2019",conference,,IEEE,1,1,2026-01-31 22:35:57.091464,2026-01-31 22:35:57.095202
124,"13th IEEE International Conference on Service-Oriented System Engineering,
SOSE 2019, San Francisco, CA, USA, April 4-9, 2019",conference,,IEEE,1,1,2026-01-31 22:35:57.106761,2026-01-31 22:35:57.111731
126,Int. J. Nat. Comput. Res.,journal,,,1,1,2026-01-31 22:35:57.143073,2026-01-31 22:35:57.147042
127,"Multi-disciplinary Trends in Artificial Intelligence - 11th International
Workshop, MIWAI 2017, Gadong, Brunei, November 20-22, 2017, Proceedings",conference,,Springer,1,1,2026-01-31 22:35:57.178035,2026-01-31 22:35:57.184791
129,IET Biom.,journal,,,1,1,2026-01-31 22:35:57.196540,2026-01-31 22:35:57.199837
120,Softw. Pract. Exp.,journal,,,13,13,2026-01-31 22:35:57.036752,2026-01-31 22:36:00.771742
114,Theor. Comput. Sci.,journal,,,5,5,2026-01-31 22:35:56.979494,2026-01-31 22:36:02.734130
118,"Multi-disciplinary Trends in Artificial Intelligence - 18th International
Conference, MIWAI 2025, Ho Chi Minh City, Vietnam, December 3-5,
2025, Proceedings, Part I",conference,,Springer,2,2,2026-01-31 22:35:57.016734,2026-01-31 22:36:03.369385
106,"Pattern Recognition and Machine Intelligence - 10th International
Conference, PReMI 2023, Kolkata, India, December 12-15, 2023, Proceedings",conference,,Springer,3,3,2026-01-31 22:35:56.900172,2026-01-31 22:36:04.239259
119,"Multi-disciplinary Trends in Artificial Intelligence - 17th International
Conference, MIWAI 2024, Pattaya, Thailand, November 11-15, 2024,
Proceedings, Part I",conference,,Springer,2,2,2026-01-31 22:35:57.029031,2026-01-31 22:36:06.859361
110,"Pattern Recognition and Machine Intelligence - 9th International Conference,
PReMI 2021, Kolkata, India, December 15-18, 2021, Proceedings",conference,,Springer,3,3,2026-01-31 22:35:56.940598,2026-01-31 22:36:08.025846
108,Multim. Tools Appl.,journal,,,9,9,2026-01-31 22:35:56.917618,2026-01-31 22:36:08.633894
128,"Pattern Recognition and Machine Intelligence - 7th International Conference,
PReMI 2017, Kolkata, India, December 5-8, 2017, Proceedings",conference,,Springer,2,2,2026-01-31 22:35:57.184985,2026-01-31 22:36:08.854847
104,Image Vis. Comput.,journal,,,3,3,2026-01-31 22:35:56.885570,2026-01-31 22:36:09.481914
121,IEEE Access,journal,,,10,10,2026-01-31 22:35:57.056480,2026-01-31 22:36:09.626281
