id,author1_id,author2_id,collaboration_count,first_collaboration_year,last_collaboration_year,created_at,updated_at
2660,74,967,1,2021,2021,2026-01-31 22:36:08.648521,2026-01-31 22:36:08.648522
2661,953,967,1,2021,2021,2026-01-31 22:36:08.651876,2026-01-31 22:36:08.651877
2639,960,961,2,2020,2021,2026-01-31 22:36:08.580173,2026-01-31 22:36:08.690369
2640,960,962,2,2020,2021,2026-01-31 22:36:08.581966,2026-01-31 22:36:08.690369
2643,95,961,2,2020,2021,2026-01-31 22:36:08.588260,2026-01-31 22:36:08.690370
2644,95,962,2,2020,2021,2026-01-31 22:36:08.590146,2026-01-31 22:36:08.690370
2647,961,962,2,2020,2021,2026-01-31 22:36:08.595684,2026-01-31 22:36:08.690370
2634,74,957,4,2019,2022,2026-01-31 22:36:08.535917,2026-01-31 22:36:08.702781
2670,551,969,1,2016,2016,2026-01-31 22:36:08.867168,2026-01-31 22:36:08.867169
2672,95,923,1,2016,2016,2026-01-31 22:36:08.878884,2026-01-31 22:36:08.878884
2673,923,953,1,2016,2016,2026-01-31 22:36:08.881462,2026-01-31 22:36:08.881463
2674,923,957,1,2016,2016,2026-01-31 22:36:08.883517,2026-01-31 22:36:08.883518
2621,95,957,7,2016,2023,2026-01-31 22:36:08.462832,2026-01-31 22:36:08.889474
2635,953,957,5,2016,2022,2026-01-31 22:36:08.538161,2026-01-31 22:36:08.889474
2675,95,971,2,2015,2015,2026-01-31 22:36:08.921572,2026-01-31 22:36:08.942243
2676,954,971,2,2015,2015,2026-01-31 22:36:08.925097,2026-01-31 22:36:08.942243
2677,74,971,2,2015,2015,2026-01-31 22:36:08.927998,2026-01-31 22:36:08.942244
2679,74,972,1,2015,2015,2026-01-31 22:36:08.971715,2026-01-31 22:36:08.971716
2680,74,973,1,2015,2015,2026-01-31 22:36:08.975558,2026-01-31 22:36:08.975558
2681,95,972,1,2015,2015,2026-01-31 22:36:08.977874,2026-01-31 22:36:08.977877
2682,972,973,1,2015,2015,2026-01-31 22:36:08.979655,2026-01-31 22:36:08.979656
2683,95,973,1,2015,2015,2026-01-31 22:36:08.981425,2026-01-31 22:36:08.981426
2666,74,969,3,2015,2018,2026-01-31 22:36:08.770684,2026-01-31 22:36:08.988643
2684,954,969,1,2015,2015,2026-01-31 22:36:08.988887,2026-01-31 22:36:08.988887
2667,95,969,3,2015,2018,2026-01-31 22:36:08.773059,2026-01-31 22:36:08.998268
2678,81,95,2,2015,2015,2026-01-31 22:36:08.946470,2026-01-31 22:36:09.003053
2685,95,974,1,2015,2015,2026-01-31 22:36:09.003336,2026-01-31 22:36:09.003336
2686,95,975,1,2015,2015,2026-01-31 22:36:09.005595,2026-01-31 22:36:09.005595
2687,81,974,1,2015,2015,2026-01-31 22:36:09.007359,2026-01-31 22:36:09.007360
2688,81,975,1,2015,2015,2026-01-31 22:36:09.010743,2026-01-31 22:36:09.010745
